City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,qasigiannguit,5,GL,1516485000,52,68.82,-51.19,19.4,31.09
117,cortez,90,US,1516481580,51,37.35,-108.58,44.6,17.22
118,eatonton,1,US,1516484100,42,33.33,-83.39,66.2,5.82
119,granada,20,NI,1516482000,46,11.93,-85.96,89.6,16.11
120,new norfolk,75,AU,1516483800,82,-42.78,147.06,64.4,1.12
121,northam,76,GB,1516481400,86,51.04,-4.21,39.2,6.93
122,east london,56,ZA,1516485693,99,-33.02,27.91,75.92,18.37
123,lethem,24,GY,1516485694,45,3.38,-59.8,92.12,12.44
124,puerto parra,20,CO,1516482000,56,6.65,-74.06,93.2,2.59
125,punta arenas,0,CL,1516482000,74,-53.16,-70.91,62.6,36.91
126,yilan,75,TW,1516483800,93,24.75,121.75,64.4,17.22
127,lere,0,TD,1516485696,31,9.66,14.23,67.69,9.75
128,kangaatsiaq,0,GL,1516485696,100,68.31,-53.46,14.09,17.47
129,saldanha,68,PT,1516485686,91,41.42,-6.55,44.47,7.07
130,bansko,68,MK,1516485697,100,41.39,22.75,35.51,2.15
131,marovoay,40,MG,1516482000,94,-16.11,46.64,77.0,11.41
132,oistins,40,BB,1516482000,78,13.07,-59.53,80.6,19.46
133,foumban,20,CM,1516485699,57,5.73,10.9,60.04,2.48
134,yatou,20,CM,1516482000,94,3.63,9.81,78.8,2.24
135,porto belo,75,BR,1516482000,74,-27.15,-48.54,78.8,8.05
136,musoma,48,TZ,1516485701,100,-1.5,33.81,68.41,8.75
137,juneau,90,US,1516481760,100,58.3,-134.42,35.6,2.37
138,marystown,92,CA,1516485702,100,47.17,-55.16,31.46,22.5
139,dabakala,0,CI,1516485702,31,8.36,-4.43,72.59,7.4
140,atuona,48,PF,1516485703,100,-9.8,-139.03,79.57,16.8
141,naze,24,NG,1516482000,74,5.43,7.07,82.4,2.24
142,garowe,0,SO,1516485703,74,8.41,48.48,66.29,9.08
143,pitimbu,20,BR,1516482000,78,-7.47,-34.81,78.8,11.41
144,berezniki,76,RU,1516485705,68,59.41,56.8,2.44,11.21
145,omsukchan,88,RU,1516485705,40,62.53,155.8,-27.72,2.48
146,ust-kulom,80,RU,1516485706,70,61.69,53.69,1.72,8.3
147,airai,44,TL,1516485706,95,-8.93,125.41,69.08,0.69
148,boyolangu,76,ID,1516485707,95,-8.09,111.9,70.79,5.06
149,qaanaaq,0,GL,1516485707,83,77.48,-69.36,-2.52,12.1
150,tayshet,0,RU,1516485708,0,55.94,98.01,-43.2,3.27
151,sola,90,FI,1516485000,85,62.78,29.36,14.0,5.82
152,sao filipe,24,CV,1516485709,92,14.9,-24.5,72.37,16.02
153,clyde river,20,CA,1516482000,83,70.47,-68.59,-13.01,12.75
154,tres picos,75,MX,1516480920,51,16.23,-93.58,80.6,11.41
155,yellowknife,20,CA,1516482000,69,62.45,-114.38,-9.41,5.82
156,constitucion,75,MX,1516481340,8,23.99,-104.67,71.6,11.41
157,poya,76,NC,1516485712,100,-21.35,165.16,74.89,1.14
158,davila,40,PH,1516482000,88,18.47,120.58,71.6,2.24
159,ponta do sol,36,BR,1516485713,46,-20.63,-46.0,84.2,3.15
160,la ronge,90,CA,1516482000,77,55.1,-105.3,6.8,5.82
161,egvekinot,36,RU,1516485714,56,66.32,-179.17,-19.89,3.6
162,serebryanyy bor,32,RU,1516485715,66,56.8,124.8,-36.94,7.96
163,waddan,0,LY,1516485716,31,29.16,16.14,54.82,13.44
164,dingle,24,PH,1516485716,92,11.0,122.67,74.17,9.08
165,riacho de santana,0,BR,1516485717,45,-13.61,-42.94,86.18,4.5
166,kieta,68,PG,1516485718,99,-6.22,155.63,81.14,2.71
167,taoudenni,0,ML,1516485718,32,22.68,-3.98,58.96,11.88
168,pangnirtung,0,CA,1516485719,60,66.15,-65.72,-13.27,4.5
169,tashtagol,32,RU,1516485719,65,52.76,87.85,-15.12,1.25
170,yuanping,8,CN,1516485719,62,38.72,112.71,8.87,5.17
171,alamosa,1,US,1516481520,23,37.47,-105.87,51.8,21.92
172,boddam,64,GB,1516485000,100,57.47,-1.78,32.0,9.17
173,zyryanka,8,RU,1516485721,0,65.73,150.89,-45.76,2.59
174,tuatapere,36,NZ,1516485722,100,-46.13,167.69,57.61,1.36
175,svetlaya,8,RU,1516485722,100,46.54,138.33,4.01,18.81
176,sorland,68,NO,1516485723,100,67.67,12.69,31.28,8.19
177,antofagasta,20,CL,1516482000,60,-23.65,-70.4,69.8,14.99
178,talovaya,92,RU,1516485724,91,51.12,40.73,25.07,10.65
179,byron bay,100,AU,1516482000,69,-28.65,153.62,77.0,10.29
180,ketchikan,75,US,1516481760,81,55.34,-131.65,42.8,8.63
181,longyearbyen,75,NO,1516481400,79,78.22,15.63,24.8,5.82
182,aripuana,24,BR,1516485727,68,-9.17,-60.63,86.99,2.37
183,high rock,90,BS,1516482000,68,26.63,-78.28,71.6,11.21
184,antalaha,44,MG,1516485728,91,-14.9,50.28,77.9,3.38
185,paita,0,PE,1516482000,62,-5.09,-81.11,84.2,12.75
186,santa cruz,1,US,1516484100,54,36.97,-122.03,55.4,9.17
187,mount isa,0,AU,1516482000,56,-20.73,139.49,73.4,1.12
188,callaway,1,US,1516485180,80,46.98,-95.91,37.4,5.82
189,san ignacio,75,CL,1516482000,48,-36.8,-72.03,82.4,6.93
190,kamaishi,0,JP,1516485735,99,39.28,141.86,24.89,3.94
191,amapa,75,HN,1516482000,94,15.09,-87.97,77.0,6.93
192,sicamous,90,CA,1516482000,84,50.84,-118.99,37.4,8.05
193,rozkishne,92,UA,1516485737,97,48.5,37.59,36.46,11.21
194,nikolskoye,75,RU,1516483800,85,59.7,30.79,17.6,6.71
195,evensk,88,RU,1516485739,96,61.92,159.24,15.44,22.95
196,neiafu,40,TO,1516482000,74,-18.65,-173.98,84.2,13.87
197,ola,90,RU,1516483800,85,59.58,151.3,15.8,4.47
198,srednekolymsk,0,RU,1516485741,0,67.46,153.71,-45.13,2.37
199,dicabisagan,92,PH,1516485741,100,17.08,122.42,71.47,6.62
200,kaitangata,0,NZ,1516485742,77,-46.28,169.85,61.84,3.71
201,nanortalik,68,GL,1516485673,91,60.14,-45.24,31.73,24.74
202,okha,12,RU,1516485743,94,53.59,142.95,-7.87,18.37
203,saint-pierre,75,FR,1516483800,93,48.95,4.24,44.6,5.82
204,bukit mertajam,75,MY,1516482000,94,5.36,100.46,77.0,2.71
205,ankang,88,CN,1516485744,75,32.73,108.99,30.52,2.04
206,innisfail,40,CA,1516482000,53,52.02,-113.95,26.6,3.71
207,mangrol,0,IN,1516485745,80,25.33,76.51,47.12,2.93
208,cockburn town,92,TC,1516485746,100,21.46,-71.14,77.27,18.81
209,havre-saint-pierre,90,CA,1516484100,85,50.23,-63.6,15.8,8.05
210,sioux lookout,90,CA,1516482000,85,50.1,-91.92,28.4,4.7
211,cabo rojo,40,PR,1516485000,74,18.09,-67.15,78.8,14.99
212,inhambane,36,MZ,1516485747,100,-23.87,35.38,73.49,9.53
213,pisco,0,PE,1516482000,65,-13.71,-76.2,77.0,13.87
214,diego de almagro,0,CL,1516485749,35,-26.39,-70.05,76.82,4.5
215,upernavik,0,GL,1516485749,100,72.79,-56.15,4.46,1.36
216,kununurra,24,AU,1516483800,94,-15.77,128.74,78.8,2.71
217,severo-kurilsk,56,RU,1516485750,100,50.68,156.12,28.04,25.64
218,richards bay,56,ZA,1516485751,80,-28.77,32.06,73.22,4.5
219,roma,20,IT,1516483200,81,41.89,12.48,51.8,6.93
